"course_number","course_name","course_description"
"SPACE 101","Rocket Science","An introduction to the science of space and space exploration. Topics covered include history of spaceflight, rockets, orbits, the space environment, satellites, remote sensing and the future human presence in space. The mathematics will be at the level of algebra and trigonometry."
"CLIMATE 102","Extreme Weather","This course provides an introduction to the physics of extreme weather events. The course uses examples of the thunderstorms, jet stream, floods, lake-effect snow storms, lightning, thunder, hail, hurricanes and tornadoes to illustrate the physical laws governing the atmosphere. Participants apply these principles in hands-on storm forecasting and weather analysis assignments."
"SPACE 103","Intro Space Weather","“Space weather” is an emerging discipline of space science that studies the conditions in space that impact society and Earth’s technological systems. Space weather is a consequence of the behavior of the sun, the nature of Earth’s magnetic field and atmosphere, and our location in the solar system."
"CLIMATE 105","Our Changing Atmosphere","The science of the greenhouse effect, stratospheric ozone depletion, polar ozone holes, and urban smog. These phenomena and their possible consequences are discussed, along with the properties and behavior of the atmosphere and its components of the environment."
"CLIMATE 110","Climate and Space Science and Engineering Seminar","Seminars by noted speakers, faculty and research scientists, designed to acquaint undergraduates with contemporary science and engineering problems, technologies and broader issues in the global climate and space sciences. Technical communication assignments include written and/or oral reports based upon the seminars."
"CLIMATE 171","Introduction to Global Change: The Science Behind Sustainability","Students learn about the evolution of the universe, Earth, our changing environment and our planets living organisms. Global Change I, which is part of the GC curriculum, assumes no prior science background. Homework and laboratories use computer-based systems modeling and analysis, and includes a group presentation."
"CLIMATE 172","Climate Change and Sustainability: Environmental Challenges of the 21st Century","This course explores impacts of modern human society on land, ocean and atmosphere, considering all aspects relevant to a sustainable future. Throughout the semester, students work on a sustainability pledge to apply class material to everyday life."
"SPACE 310","Introduction to Satellite Mission Design","This class teaches the fundamentals of designing a satellite mission, using projects. Topics that will be discussed include: (1) different subsystems; (2) formulating instrument requirements; (3) power, mass, data, and financial budgets; (5) solar power and depth of discharge; (6) thermal design; (7) orbits and launch vehicles; and (8) attitude control."
"CLIMATE 320","Earth Systems Evolution","Introduction to the physics and chemistry of Earth and space. Gravitational energy, radiative energy, Earth’s energy budget and Earth tectonics are discussed along with chemical evolution and biogeochemical cycles. The connections among the carbon cycle, silicate weathering and the natural greenhouse effect are discussed."
"CLIMATE 321","Earth and Space System Dynamics","This course will describe the major wind systems and ocean currents that are important to climate studies. The primary equations will be developed and simple solutions derived that will explain many of these motions. The relations among the dynamics and other parameters in the climate system will be illustrated by examples from both paleo and present day systems."
"CLIMATE 323","Earth System Analysis","Introduction to the analysis of Earth and Atmospheric Science Systems. Topics include linear systems, harmonic analysis, sampling theory and statistical error analysis. Lectures emphasize underlying mathematical concepts. Labs emphasize application of mathematical methods to analysis of field data in a computer programming environment. Applications include turbulent air motion in the planetary boundary layer, cloud and precipitation microphysical composition, oceanic wave propagation, stratospheric ozone depletion and satellite remote sensing."
"CLIMATE 324","Instrumentation for Atmospheric and Space Science","Introduction to fundamentals of atmospheric, space-based, and meteorological instrumentation. Includes basics of electronic sensors, optics, lasers, radar, data acquisition/management, error analysis, and data presentation. Consists of two lectures and one lab each week, and a team-based term project."
"CLIMATE 350","Atmospheric Thermodynamics","Fundamentals of thermodynamics are presented, including the First, Second and Third Laws, ideal gases, adiabatic processes, phase changes, vapor pressure, humidity and atmospheric stability. The Kinetic Theory of Gases provides a molecular perspective on the various forms of atmospheric water substance and on macroscopic phenomenology in general."
"SPACE 370","Solar-Terrestrial Relations","Introduction to solar terrestrial relations with an overview of solar radiation and its variability on all time-scales. The effects of this variability on the near-Earth space environment and upper atmosphere are considered, as well as effects on the lower and middle atmosphere with connections to weather and climate. Subjects are approached through extensive data analysis, including weekly computer lab sessions."
"SPACE 371","Introduction to Optical Remote Sensing","Introduces the principles of optical remote sensing of the Earth and planetary bodies in visible, ultraviolet (UV) and infrared (IR) bands. Physical principles for visible cameras, UV and IR spectrometers; foundational principles of light, radiative transfer, scattering and geometric optics. Fundamental aspects of viewing the surface from space, such as ground track, field of view and scanning modes. Common computation tools used for remote sensing will be introduced. ‘Hands-on’ project will be emphasized in addition to theoretical concepts."
"CLIMATE 380","Introduction to Atmospheric Radiation","Basic concepts and processes of radiative transfer including radiometric quantities, electromagnetic spectrum, absorption, emission and scattering. The physics laws governing these processes including the Planck Law and the Kirchhoff Law. Radiative properties of atmospheric constituents. Reflection and refraction. Introductory-level descriptions of relevant applications in atmospheric sciences and climate physics."
"CLIMATE 401","Geophysical Fluid Dynamics","Dynamics of the oceans and atmosphere. Equations of motion in spherical coordinates, beta-plane approximation, wave properties in the oceans and atmosphere."
"CLIMATE 405","Special Topics","Advances in specific field of Climate and Space Sciences as revealed by recent research."
"CLIMATE 407","Mathematical Methods in Geophysics","Vector calculus and Cartesian tensors; Sturm-Liouville systems, Green’s Functions and solution of boundary value problems; Fourier series, Fourier and Laplace transforms, discrete Fourier transform, fast Fourier transforms, and energy spectra and singular perturbation theory."
"CLIMATE 410","Earth System Modeling","Introduction to Earth System Modeling; discussion of energy balance models, carbon cycle models and atmospheric chemistry models with multiple time scales; methods for numerical solution and practice building and analyzing results from models."
"CLIMATE 411","Cloud and Precipitation Processes","The special nature of water substance; nucleation of phase changes in the free atmosphere; the structure and content of clouds; the development of physical characteristics of precipitation; and the dynamics of rain systems."
"CLIMATE 414","Weather Systems","Introduction to the basic characteristics, thermodynamics and dynamics of atmospheric weather systems on Earth and other planets. The students are exposed to observations of weather systems while reviewing non-dimensional analysis, dynamics and thermodynamics. Weather systems on earth are compared to that of other planets and analytical tools are used to gain insights into their basic physics."
"CLIMATE 421","Introduction of Physical Oceanography","This course examines the fundamentals of physical oceanography; the physical properties of the ocean and water masses; circulation of the atmosphere; wind-driven and buoyancy-driven ocean circulation; tides; surface and internal waves; eddies; and mixing."
"CLIMATE 422","Boundary Layer Meteorology","This course explores processes in the atmospheric boundary layer, which plays an important role in the exchange of energy, mass and momentum between land and atmosphere. Topics include applications of governing atmospheric equations, atmospheric turbulence, turbulent kinetic energy, the surface energy balance and the collection and analysis of field flux tower data."
"CLIMATE 423","Data Analysis and Visualization for Geoscientists","Fundamental data science, data and error analysis, data-model comparison tests and metrics, and visualization techniques. By course end, students will be able to produce publication ready scientific data visualization, process data sets using Python, perform large data set analysis, conduct data-model comparisons, and scientifically test hypotheses and interpret results."
"CLIMATE 431","Wireless Link Design","Fundamentals of electromagnetic propagation and radiation; radiowave propagation in different environments (near Earth, troposphere, ionosphere, indoor and urban); antenna parameters; practical antennas; link analysis; system noise; fading and multipath interference. Course includes lectures, labs and a project in which student teams develop and implement practical wireless systems. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations"
"CLIMATE 440","Meteorological Analysis Laboratory","This course provides an introduction into the analysis of both surface-based and remotely-sensed meteorological data. The development and application of operational numerical forecast models will be discussed. Techniques for the prediction of both synoptic and mesoscale meteorological phenomena will also be presented."
"CLIMATE 451","Atmospheric Dynamics I","Quasi-geostrophic energetics; fronts; the mean circulation; planetary and equatorial waves: overview of the dynamics of the middle atmosphere; wave-mean flow interaction; spectral methods; and tropical meteorology."
"CLIMATE 455","Senior Capstone Design","A CLIMATE or SPACE SCIENCE and engineering design project by which the student is exposed to the design process from concept through analysis to layout and report. Projects are proposed from the different areas of study within Climate and Space Sciences and Engineering and reflect the expertise of instructional faculty and industrial or laboratory representatives."
"CLIMATE 463","Air Pollution Meteorology","Weather and motion systems of the atmosphere; topographic influences on winds, atmospheric stability and inversions; atmospheric diffusion; natural cleansing processes; meteorological factors in plant location, design and operation."
"CLIMATE 466","Carbon-Climate Interaction","The class will focus on the exchange of carbon among reservoirs in the Earth system — atmosphere, ocean, lithosphere and biosphere — and the role of carbon dioxide, CO2, as a greenhouse gas."
"CLIMATE 467","Biogeochemical Cycles","The biogeochemical cycles of water, carbon, nitrogen and sulfur; the atmosphere and oceans as reservoirs and reaction media; the fate of natural and man-made sources of carbon, nitrogen, and sulfur compounds; the interactions among the major biogeochemical cycles and resultant global change; greenhouse gases, acid rain and ozone depletion."
"SPACE 471","Space Instrumentation","Fundamental principles and techniques of space physics observations and discussion of hardware and analysis techniques including in situ and remote sensing. The physical measurement principles, details of the designs of different instrumentation, and how instrument measurement output is converted to different parameters. The assumptions, limitations, and errors of different techniques to measure magnetized plasma, particle and field environments of the Earth, solar system objects and the Sun."
"CLIMATE 473","Climate Physics","Introduction to physical mechanisms that determine climate, including relevant atmospheric, hydrologic, cryospheric, solar/orbital, volcanic and human processes. Discusses qualitative and descriptive techniques to understand how radiative, thermodynamic and dynamic processes distribute energy throughout the Earth System, drive climate feedbacks and determine the sensitivity of Earth’s climate to external perturbations."
"CLIMATE 474","Ice Sheets, Glaciers and Climate Change","The dynamics and mass balance of ice sheets and glaciers introduced along with mathematical theories describing how ice sheets and glaciers flow and current methods of observation. The course integrates lectures, assignments and discussion of journal articles."
"CLIMATE 475","Earth System Interactions","Students will work on open-ended research problems with mathematical models from Earth System Science. The models may include, for example, surface characteristics, hydrology, solar-land-ocean-atmosphere exchanges and space-based observations. Numerical experiments will promote further understanding and interpretation of earth system interactions, team building and scientific communication."
"SPACE 477","Space Weather Modeling","An introduction to a variety of models of the space environment, including models of the sun, magnetosphere, ring current, ionosphere, thermosphere and ionospheric electrodynamics. Students will learn the origins of different models, what each represents, to run the models and become familiar with the output."
"SPACE 478","Engineering for Space Environment","This course will cover the basics of the Sun and the solar wind and their influence on the space environment. In addition, atmospheric effects on spacecraft are considered. We discuss not only the physics of the drivers of space weather, but also the implications for satellite systems and their design and operation."
"CLIMATE 479","Atmospheric Chemistry","Thermochemistry, photochemistry and chemical kinetics of the atmosphere; geochemical cycles, generation of atmospheric layers and effects of pollutants are discussed."
"CLIMATE 480","Climate Change: A Multidisciplinary Approach to Problem Solving","All sectors of society are affected by climate change: science, policy, business, economics, public health, energy, ecosystems, environmental engineering, journalism, religion, etc. This course explores the intersections of these communities and exposes students the factual and contextual elements that will allow effective participation in the adaption to climate change."
"CLIMATE 485","Principles and Applications of Remote Sensing","Introduction to the use of electromagnetic remote sensing to study planetary atmospheres and surfaces from space. Topics include: 1) interactions between geophysical properties and propagating electromagnetic waves; 2) design of orbiting sensors to measure them; 3) interpreting the measurements to estimate the geophysical properties."
"SPACE 495","Upper Atmosphere and Ionosphere","Basic physical and chemical processes important in controlling the upper/middle atmosphere and ionosphere: photochemistry, convection, diffusion, wave activity, ionization, heating and cooling. The terrestrial, as well as planetary atmospheres and ionospheres are to be considered."
"CLIMATE 498","Practicum in Climate and Space Science","Course may be repeated to a maximum of 8 credit hours. Students taking this course will participate in research and/or engineering tasks. Supervision will be undertaken by faculty and engineers of the Climate & Science department. Reporting requirements include a final written summary. Diverse tasks include aircraft spacecraft and rocket payload design field campaign support calibration simulation test. Students will join an active research program of Climate & Science for a given semester."
"CLIMATE 499","Directed Study","Offers research or directed study experience for students in an area of interest to the student and faculty member. Projects are overseen and graded by faculty and may also involve mentoring by representatives from industrial, governmental and/or non-profit organizations."
"CLIMATE 501","Seminars in Climate, Atmospheres and Space Sciences","Current research efforts will be presented by graduate students and faculty dealing with all phases of the climate, atmospheric and space sciences."
"CLIMATE 524","General Circulation","Processes that maintain the general circulation of the Earth’s atmosphere; the observed general circulation; energetics; balance requirements; comparison of observations with simple theories and results from general circulation model simulations."
"CLIMATE 530","Using Climate-Change Knowledge in Planning and Design","This seminar focuses on special topics on the use of climate-change data and knowledge in planning, design, engineering and management. Topics include, for example, uncertainty in the context of decision making, nonstationarity in design and engineering, and vulnerability and risk assessment."
"CLIMATE 532","Radiative Transfer","Physical processes, mathematical representation and numerical modeling of radiative transfer through atmospheres. Rayleigh and Mie scattering. Gaseous absorption and emission lines and line broadening. Numerical considerations and approximations. Applications include radiative energy balance and global climate, satellite remote sensing of atmospheres, and propagation through ionized media."
"SPACE 545","High Energy Density Physics","Fundamental tools and discoveries of high-energy density physics, where pressures are above a million atmospheres. Fundamental physical models, equations of state, hydrodynamics including shocks and instabilities, radiation transport, radiation hydrodynamics, experimental technique, inertial fusion, experimental astrophysics and relativistic systems."
