"course_number","course_name","course_description"
"EECS 110","Discover Computer Science","Introduction to basic CS concepts (variables, conditionals, loops, functions) using an introductory programming language, such as Python. Students interact with researchers and computing professionals to learn about real-world, interdisciplinary applications of CS. Intended for students without prior programming experience to (optionally) take prior to EECS 183 or ENGR 101."
"EECS 180","Exam/Transfer Introductory Computer Programming Credit","Credit for college-level introductory programming coursework based on a satisfactory score on an approved exam (e.g., a score of 5 on the AP Computer Science A exam) or on transfer credit for an approved introductory programming course at another college. Indicates preparedness to proceed to EECS 280."
"EECS 183","Elementary Programming Concepts","Fundamental concepts and skills of programming in a high-level language. Flow of control: selection, iteration, subprograms. Data structures: strings, arrays, records, lists, tables. Algorithms using selection and iteration (decision making, finding maxima/minima, searching, sorting, simulation, etc.) Good program design, structure and style are emphasized. Testing and debugging. Not intended for Engineering students (who should take ENGR 101), nor for CS majors in LSA who qualify to enter EECS 280."
"EECS 198","Special Topics","Topics of current interest selected by the faculty. Lecture, seminar, or laboratory."
"EECS 200","Electrical Engineering Systems Design I","Gain a systems engineering perspective of electrical engineering centered around a design competition to address a societally-relevant challenge. Apply electrical engineering concepts in circuits, computing, control, sensors, optics, power, signal processing, and wireless communications to a system such as a robot, and adapt the system to achieve competition objectives within defined engineering constraints. Projects are overseen and graded by faculty and may also involve mentoring by representatives from industrial, governmental and/or non-profit organizations."
"EECS 201","Computer Science Pragmatics","Essential tools for computer programming: Shells, environments, scripting, Makefiles, compilers, debugging tools, and version control."
"EECS 203","Discrete Mathematics","Introduction to the mathematical foundations of computer science. Topics covered include: propositional and predicate logic, set theory, function and relations, growth of functions and asymptotic notation, introduction to algorithms, elementary combinatorics and graph theory and discrete probability theory."
"EECS 215","Introduction to Electronic Circuits","Introduction to electronic circuits. Basic Concepts of voltage and current; Kirchhoff's voltage and current laws; Ohm's law; voltage and current sources; Thevenin and Norton equivalent circuits; DC and low frequency active circuits using operational amplifiers, diodes, and transistors; small signal analysis; energy and power. Time- and frequency-domain analysis of RLC circuits. Basic passive and active electronic filters. Laboratory experience with electrical signals and circuits."
"EECS 216","Introduction to Signals and Systems","Theory and practice of signals and systems engineering in continuous and discrete time. Continuous-time linear time-invariant systems, impulse response, convolution. Fourier series, Fourier transforms, spectrum, frequency response and filtering. Sampling leading to basic digital signal processing using the discrete-time Fourier and the discrete Fourier transform. Laplace transforms, transfer functions, poles and zeros, stability. Applications of Laplace transform theory to RLC circuit analysis. Introduction to communications, control and signal processing. Weekly recitations and hardware/Matlab software laboratories."
"EECS 230","Electromagnetics I","Vector calculus. Electrostatics. Magnetostatics. Time-varying fields: Faraday's Law and displacement current. Maxwell's equations in differential form. Traveling waves and phasors. Uniform plane waves. Reflection and transmission at normal incidence. Transmission lines. Laboratory segment may include experiments with transmission lines, the use of computer-simulation exercises, and classroom demonstrations."
"EECS 250","Electronic Sensing Systems","Introduction to properties and behavior of electromagnetic energy as it pertains to naval applications of communication, radar, and electro-optics. Additional topics include sound navigation and ranging (SONAR), tracking and guidance systems, and computer-controlled systems."
"EECS 270","Introduction to Logic Design","Boolean algebra, digital design techniques, logic gates, logic and state minimization, standard combinational circuits, latches and flip-flops, sequential circuits, synthesis of synchronous sequential circuits, state machines, FPGAs, memories, arithmetic circuits, and computer-aided design. Laboratory involves CAD-based design implemented on an FPGA including elementary interfacing."
"EECS 280","Programming and Introductory Data Structures","Algorithm development and effective programming, top-down analysis, structured programming, testing and program correctness. Program language syntax and static and runtime semantics. Scope, procedure instantiation, recursion, abstract data types and parameter passing methods. Structured data types, pointers, linked data structures, stacks, queues, arrays, records and trees."
"EECS 281","Data Structures and Algorithms","Introduction to algorithm analysis and O-notation; Fundamental data structures including lists, stacks, queues, priority queues, hash tables, binary trees, search trees, balanced trees and graphs; searching and sorting algorithms; recursive algorithms; basic graph algorithms; introduction to greedy algorithms and divide and conquer strategy. Several programming assignments."
"EECS 285","Practical Programming in Java","Introduction to Java programming, including language features, design principles, and programming practices. Topics include: Java syntax and semantics, object-oriented design, exception handling, graphical user interfaces, mobile-application development, asynchronous programming, and unit testing."
"EECS 298","Special Topics","Topics of current interest selected by the faculty and pilot versions of new courses. Lecture, seminar, or laboratory."
"EECS 300","Electrical Engineering Systems Design II","Principles of engineering design for electrical engineering systems. Integration of electrical engineering foundational concepts to address system-level objectives. Semester-long, open-ended design based on a societally-relevant challenge. Technical topics include embedded systems fundamentals, sensing, power and energy tradeoffs, and addressing realistic constraints of project requirements. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"EECS 301","Probabilistic Methods in Engineering","Basic concepts of probability theory. Random variables: discrete, continuous and conditional probability distributions; averages; independence. Statistical inference: hypothesis testing and estimation. Introduction to discrete and continuous random processes."
"EECS 311","Analog Circuits","DC and AC circuit models for diodes, bipolar junction transistors and field-effect transistors; small-signal and piecewise analysis of nonlinear circuits; analysis and design of single-stage and multi-stage transistor amplifiers: gain, biasing and frequency response; op-amp based filter design; non-ideal op-amps. Design projects. Lecture and laboratory. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"EECS 312","Digital Integrated Circuits","Review of MOSFET device operation. Design of digital circuits, including static CMOS, ratioed, dynamic, and pass-transistor logic. Memory structures, including static and dynamic RAM; sequential elements; and interconnects. Analysis of circuit delay, power, and noise margins. Use of circuit simulation in analysis and design. Design project(s)."
"EECS 314","Electrical Circuits, Systems, and Applications","Students will learn about electrical systems operation, specifications and interactions with other modules. Theory will be motivated by the use of examples taken from a variety of fields. Topics covered include circuit fundamentals, frequency response and transients, analog and digital electronics. In lab, students will build and analyze circuits including amplifiers, filters and temperature controllers."
"EECS 320","Introduction to Semiconductor Devices","Introduction to semiconductors in terms of atomic bonding and electron energy bands. Equilibrium statistics of electrons and holes. Carrier dynamics; continuity, drift and diffusion currents; generation and recombination processes, including important optical processes. Introduction to: PN junctions, metal-semiconductor junctions, light detectors and emitters; bipolar junction transistors, junction and MOSFETs."
"EECS 330","Introduction to Antennas and Wireless Systems","Electromagnetic fields and waves applied to antennas and wireless systems. The course covers wave reflection and transmission, dipoles, arrays, horn and patch antennas, waveguides, microstrip lines, resonators, and their applications in communication and radar systems. Introduction to advanced electromagnetics, communication systems, sensor systems, remote sensing and global navigation systems."
"EECS 334","Principles of Optics","Basic principles of optics: light sources and propagation of light; geometrical optics, lenses and imaging; ray tracing and lens aberrations; interference of light waves, coherent and incoherent light beams; Fresnel and Fraunhofer diffraction. Overview of modern optics with laboratory demonstrations."
"EECS 351","Introduction to Digital Signal Processing","DSP methods and applications. Sampling and reconstruction, difference equations, convolution, stability, z-transform, transfer function, frequency response, FIR and IIR, DTFT, DFT, FFT, windows, spectrogram, computer-aided filter design, correlation, multi-rate, basic image processing, discrete time wavelets, filter banks. Applications: filtering, denoising, deconvolution, classification, others. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"EECS 367","Introduction to Autonomous Robotics","A computational introduction to the modeling and control of autonomous robots and mobile manipulators. Programming projects and lectures cover 3D coordinate systems, axis-angle rotation, forward and inverse kinematics, physical simulation and numerical integration, motion control, path planning, high-dimensional motion planning, and robot software systems. Emphasizes portable programming of general robots."
"EECS 370","Introduction to Computer Organization","Basic concepts of computer organization and hardware. Instructions executed by a processor and how to use these instructions in simple assembly-language programs. Stored-program concept. Datapath and control for multiple implementations of a processor. Performance evaluation, pipelining, caches, virtual memory, input/output."
"EECS 373","Introduction to Embedded System Design","Principles of designing application-specific computer systems that interact with the physical world. Covers memory-mapped I/O, interrupts, analog interfacing, microprocessors, reconfigurable hardware, sensors, and actuators. Complex hardware/software system design and implementation. Substantial student-defined team design project."
"EECS 376","Foundations of Computer Science","Introduction to theory of computation. Models of computation: finite state machines, Turing machines. Decidable and undecidable problems. Polynomial time computability and paradigms of algorithm design. computational complexity emphasizing NP-hardness. Coping with intractability. Exploiting intractability: cryptography."
"EECS 388","Introduction to Computer Security","Introduction to the principles and practices of computer security as applied to software, host systems, and networks. Covers the foundations of building, using and managing secure systems. Topics include standard cryptographic functions and protocols, threats and defenses for real-world systems, incident response, and computer forensics."
"EECS 390","Programming Paradigms","Survey of programming language features and paradigms and how to effectively use them. Introduces common features for program execution, data, and resource management. Exploration of paradigms including imperative, functional, object-oriented, and declarative programming, as well as advanced programming techniques. Students will gain experience in large projects that incorporate these paradigms."
"EECS 398","Special Topics","Topics of current interest selected by the faculty. Lecture, seminar, or laboratory."
"EECS 399","Directed Study","This course provides an opportunity for undergraduate students to work on research problems in EECS or areas of special interest such as design problems."
"EECS 402","Computer Programming For Scientists and Engineers","Presents concepts and hands-on experience for designing and writing programs using one or more programming languages currently important in solving real-world problems."
"EECS 403","Graduate Foundations of Data Structures and Algorithms","Introduction to algorithm analysis and O-notation; Fundamental data structures including lists, stacks, queues, priority queues, hash tables, binary trees, search trees, balanced trees and graphs; searching and sorting algorithms; recursive algorithms; basic graph algorithms; introduction to greedy algorithms and divide and conquer strategy. Several programming assignments."
"EECS 406","High-Tech Entrepreneurship","Four aspects of starting high-tech companies are discussed: opportunity and strategy, creating new ventures, functional development, and growth and financing. Also, student groups work on reviewing business books, case studies, elevator and investor pitches. Different financing models are covered, including angel or VC funding and small business (SBIR) funding."
"EECS 408","Advanced Operating Systems Projects","Hands-on experience with advanced operating systems concepts. Includes topics such as managing multiprocessors, building and using spinlocks, suspending and waking processors with interprocessor interrupts, inheriting address spaces, sharing data through copy-on-write, managing locks dynamically, and enabling increased concurrency in multithreaded systems."
"EECS 409","Data Science Seminar","The MIDAS Seminar Series features leading data scientists from around the world and across the U-M campuses addressing a variety of topics in data science, and sharing their vision regarding the future of the field. These thought leaders are invited from academia, industry and government. A satisfactory grade is obtained in this course by regular attendance at the weekly seminar."
